City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Nhulunbuy,AU,2021-10-30 22:31:04,-12.2333,136.7667,86.61,70,86,4.61
132,Muzhi,RU,2021-10-30 22:32:05,65.3667,64.6667,-0.54,95,26,4.21
133,Saint-Pierre,RE,2021-10-30 22:32:05,-21.3393,55.4781,69.48,78,0,5.75
134,Byron Bay,AU,2021-10-30 22:31:20,-28.65,153.6167,69.06,83,99,20.49
135,Usinsk,RU,2021-10-30 22:32:06,65.9939,57.5281,8.78,93,100,8.03
136,Ixtapa,MX,2021-10-30 22:32:06,20.7,-105.2,84.22,83,37,5.01
137,Agapovka,RU,2021-10-30 22:32:07,53.2973,59.1348,42.01,93,100,13.65
138,Anito,PH,2021-10-30 22:32:08,12.4497,125.2886,80.19,76,99,11.12
139,Yumen,CN,2021-10-30 22:32:08,40.2833,97.2,36.93,48,66,5.91
140,Sahbuz,AZ,2021-10-30 22:32:09,39.4072,45.5739,44.2,78,98,2.37
141,Mosquera,CO,2021-10-30 22:31:44,4.7059,-74.2302,60.89,72,40,6.91
142,Port Alfred,ZA,2021-10-30 22:32:10,-33.5906,26.891,65.75,81,85,4.52
143,Rio Branco,BR,2021-10-30 22:32:10,-9.9747,-67.81,92.01,52,20,4.61
144,Nagato,JP,2021-10-30 22:31:36,34.3833,131.2,62.51,81,53,3.53
145,Ayan,RU,2021-10-30 22:32:11,56.45,138.1667,22.6,52,0,18.63
146,Killam,CA,2021-10-30 22:32:11,52.7834,-111.8518,40.95,33,0,19.57
147,Muyezerskiy,RU,2021-10-30 22:32:12,63.9333,31.65,42.3,94,99,11.92
148,Gornopravdinsk,RU,2021-10-30 22:32:12,60.05,69.9,16.86,98,91,4.79
149,Faanui,PF,2021-10-30 22:32:13,-16.4833,-151.75,78.13,69,15,15.43
150,Beyneu,KZ,2021-10-30 22:32:13,45.3167,55.2,48.06,69,3,3.29
151,College,US,2021-10-30 22:28:18,64.8569,-147.8028,43.12,62,90,8.05
152,San Luis,AR,2021-10-30 22:32:14,-33.295,-66.3356,73.17,61,50,15.43
153,La Romana,DO,2021-10-30 22:30:58,18.4273,-68.9728,86.36,74,40,9.22
154,Steinbach,DE,2021-10-30 22:32:14,50.1667,8.5667,53.26,94,75,3.44
155,Aginskoye,RU,2021-10-30 22:32:15,51.1,114.53,21.47,37,4,4.18
156,Constitucion,CL,2021-10-30 22:31:20,-35.3333,-72.4167,57.4,79,100,12.62
157,Bom Jardim,BR,2021-10-30 22:32:17,-7.7958,-35.5872,71.62,77,23,8.9
158,Bredasdorp,ZA,2021-10-30 22:32:18,-34.5322,20.0403,58.28,88,55,2.3
159,Oktyabrskiy,RU,2021-10-30 22:32:18,54.4815,53.471,44.22,95,100,7.54
160,Bossangoa,CF,2021-10-30 22:32:19,6.4926,17.4552,72.05,81,41,2.89
161,Moranbah,AU,2021-10-30 22:32:19,-22.0016,148.0466,85.26,45,7,0.98
162,Gizo,SB,2021-10-30 22:32:20,-8.103,156.8419,84.56,70,73,6.31
163,Koutiala,ML,2021-10-30 22:32:20,12.3917,-5.4642,78.73,65,65,6.82
164,Souillac,MU,2021-10-30 22:29:42,-20.5167,57.5167,70.36,94,20,3.44
165,Carnarvon,AU,2021-10-30 22:29:41,-24.8667,113.6333,66.27,68,0,13.8
166,Saint-Ambroise,CA,2021-10-30 22:32:21,48.5501,-71.3324,48.58,57,89,8.05
167,Guanica,PR,2021-10-30 22:32:22,17.9716,-66.908,83.25,74,5,4.0
168,Sao Filipe,CV,2021-10-30 22:32:23,14.8961,-24.4956,79.99,75,84,13.11
169,Qurayyat,SA,2021-10-30 22:32:23,31.3318,37.3428,64.58,52,0,2.3
170,Mahebourg,MU,2021-10-30 22:32:24,-20.4081,57.7,70.25,94,20,3.44
171,Djougou,BJ,2021-10-30 22:32:24,9.7085,1.666,75.56,63,88,3.6
172,Ipixuna,BR,2021-10-30 22:32:25,-1.7625,-48.8043,78.75,90,88,5.41
173,Norman Wells,CA,2021-10-30 22:32:25,65.282,-126.8329,19.44,93,75,6.91
174,Magadan,RU,2021-10-30 22:32:25,59.5667,150.8,21.38,62,100,11.7
175,Matamoros,MX,2021-10-30 22:31:28,25.5333,-103.25,84.31,17,1,5.75
176,Clyde River,CA,2021-10-30 22:32:26,70.4692,-68.5914,28.63,100,90,26.46
177,Zambezi,ZM,2021-10-30 22:32:27,-13.5432,23.1047,71.89,64,90,4.14
178,Khatanga,RU,2021-10-30 22:33:27,71.9667,102.5,-1.91,99,83,0.81
179,Lahij,YE,2021-10-30 22:33:28,13.1667,44.5833,76.75,69,50,8.84
180,Leningradskiy,RU,2021-10-30 22:29:40,69.3833,178.4167,-1.08,97,99,6.38
181,Paris,FR,2021-10-30 22:32:23,48.8534,2.3488,53.15,94,0,3.44
182,Athol,US,2021-10-30 22:33:29,42.5959,-72.2268,57.79,95,90,3.44
183,Lazaro Cardenas,MX,2021-10-30 22:33:29,17.9583,-102.2,82.18,76,1,4.12
184,Noumea,NC,2021-10-30 22:30:04,-22.2763,166.4572,78.78,99,3,6.35
185,Vardo,NO,2021-10-30 22:31:56,70.3705,31.1107,38.77,73,97,10.4
186,Pangnirtung,CA,2021-10-30 22:33:30,66.1451,-65.7125,32.68,99,100,9.13
187,Ishigaki,JP,2021-10-30 22:33:31,24.3448,124.1572,73.53,83,75,8.05
188,Potamia,GR,2021-10-30 22:33:31,40.7163,24.7286,55.65,67,0,12.8
189,Santa Rosa,PH,2021-10-30 22:30:18,14.3122,121.1114,81.86,71,51,11.79
190,Sidi Ali,DZ,2021-10-30 22:33:32,36.0998,0.4206,65.97,59,45,10.69
191,Rovaniemi,FI,2021-10-30 22:33:32,66.5,25.7167,40.41,100,90,6.91
192,Chapais,CA,2021-10-30 22:33:33,49.7834,-74.8492,47.98,69,96,6.91
193,Kiruna,SE,2021-10-30 22:33:34,67.8557,20.2251,29.32,100,75,2.3
194,Husavik,IS,2021-10-30 22:30:51,66.0449,-17.3389,39.11,89,100,17.94
195,Peabiru,BR,2021-10-30 22:29:36,-23.9128,-52.3431,70.02,84,97,4.03
196,Inta,RU,2021-10-30 22:33:35,66.0317,60.1659,8.04,93,93,5.44
197,Anadyr,RU,2021-10-30 22:33:35,64.75,177.4833,1.9,84,90,17.0
198,Peniche,PT,2021-10-30 22:33:36,39.3558,-9.3811,70.88,94,99,21.27
199,Maun,BW,2021-10-30 22:33:36,-19.9833,23.4167,73.36,68,0,1.14
200,Dikson,RU,2021-10-30 22:33:37,73.5069,80.5464,7.0,91,100,16.06
201,Elko,US,2021-10-30 22:29:34,41.0002,-115.5012,65.73,44,100,1.01
202,Tuktoyaktuk,CA,2021-10-30 22:33:37,69.4541,-133.0374,17.6,93,90,9.22
203,Vostok,RU,2021-10-30 22:33:38,46.4856,135.8833,36.81,77,100,0.25
204,Killybegs,IE,2021-10-30 22:32:08,54.6333,-8.45,47.44,81,96,17.52
205,Port Lincoln,AU,2021-10-30 22:30:33,-34.7333,135.8667,60.01,61,0,12.17
206,Birjand,IR,2021-10-30 22:33:39,32.8663,59.2211,45.07,29,0,6.91
207,Ribnica,SI,2021-10-30 22:33:40,45.7386,14.7275,50.76,94,31,3.58
208,Sola,VU,2021-10-30 22:32:38,-13.8833,167.55,81.01,69,3,15.84
209,Yar-Sale,RU,2021-10-30 22:29:36,66.8333,70.8333,9.34,90,98,17.27
210,Englewood,US,2021-10-30 22:33:40,39.6478,-104.9878,69.55,28,20,3.0
211,Tiradentes,BR,2021-10-30 22:33:41,-21.1103,-44.1781,66.61,93,100,8.48
212,Kaitangata,NZ,2021-10-30 22:33:42,-46.2817,169.8464,50.41,92,99,18.39
213,Coihaique,CL,2021-10-30 22:33:42,-45.5752,-72.0662,58.95,23,0,12.66
214,Hualmay,PE,2021-10-30 22:33:43,-11.0964,-77.6139,64.72,79,88,8.14
215,Kismayo,SO,2021-10-30 22:33:43,-0.3582,42.5454,78.71,83,21,11.14
216,Cabo San Lucas,MX,2021-10-30 22:33:44,22.8909,-109.9124,88.52,69,20,19.57
217,Jinchang,CN,2021-10-30 22:33:44,38.4953,102.1739,38.73,45,0,2.06
218,Papetoai,PF,2021-10-30 22:33:44,-17.4961,-149.8729,83.79,72,6,17.74
219,Bathsheba,BB,2021-10-30 22:32:04,13.2167,-59.5167,81.21,74,20,13.8
220,Birao,CF,2021-10-30 22:33:45,10.2849,22.7882,76.26,30,99,2.01
221,Kavieng,PG,2021-10-30 22:30:47,-2.5744,150.7967,83.95,75,70,13.47
222,Largo,US,2021-10-30 22:30:26,27.9095,-82.7873,72.1,80,90,8.01
223,Arraial Do Cabo,BR,2021-10-30 22:33:46,-22.9661,-42.0278,69.76,100,75,8.05
224,Velyka Bahachka,UA,2021-10-30 22:34:47,49.7912,33.7226,42.19,76,0,6.89
225,Dingle,PH,2021-10-30 22:34:47,10.9995,122.6711,77.36,88,95,7.96
226,Big Spring,US,2021-10-30 22:34:48,32.2504,-101.4787,87.28,11,1,10.36
227,Cayenne,GF,2021-10-30 22:34:48,4.9333,-52.3333,83.08,79,75,4.0
228,Fairhope,US,2021-10-30 22:34:49,30.523,-87.9033,60.55,69,90,5.75
229,Saint-Augustin,CA,2021-10-30 22:34:49,51.226,-58.6502,43.97,60,9,2.57
230,Codrington,AU,2021-10-30 22:34:50,-38.2667,141.9667,55.06,73,2,7.11
231,Omagari,JP,2021-10-30 22:34:50,39.45,140.4833,43.56,77,100,1.45
232,Lodwar,KE,2021-10-30 22:34:50,3.1191,35.5973,84.34,46,81,11.79
233,San Policarpo,PH,2021-10-30 22:34:51,12.1791,125.5072,82.33,73,80,16.13
234,Xiamen,CN,2021-10-30 22:34:52,24.4798,118.0819,71.26,68,0,6.71
235,Northam,GB,2021-10-30 22:31:38,51.0333,-4.2167,56.01,90,67,19.1
236,Helena,US,2021-10-30 22:30:50,46.5927,-112.0361,41.18,62,75,5.99
237,Erzin,TR,2021-10-30 22:34:54,36.9559,36.2,66.92,68,54,5.55
238,Yarmouth,US,2021-10-30 22:34:54,41.7057,-70.2286,62.82,96,90,10.0
239,Vila Velha,BR,2021-10-30 22:34:55,-20.3297,-40.2925,71.55,94,75,4.61
240,Tamandare,BR,2021-10-30 22:34:55,-8.7597,-35.1047,76.91,74,2,10.49
241,Westport,US,2021-10-30 22:34:56,41.1415,-73.3579,60.26,94,94,5.99
242,Paignton,GB,2021-10-30 22:30:27,50.4357,-3.5679,56.64,44,80,8.99
243,Guerrero Negro,MX,2021-10-30 22:34:56,27.9769,-114.0611,73.04,57,0,13.35
244,Fort Nelson,CA,2021-10-30 22:30:33,58.8053,-122.7002,40.59,45,20,8.05
245,Ouidah,BJ,2021-10-30 22:34:57,6.3631,2.0851,84.06,84,100,10.13
246,Centralia,US,2021-10-30 22:33:08,46.7162,-122.9543,58.51,57,1,17.27
247,Meiganga,CM,2021-10-30 22:34:58,6.5167,14.3,68.45,82,95,1.79
248,Maceio,BR,2021-10-30 22:34:58,-9.6658,-35.7353,78.24,83,0,6.91
249,Ancud,CL,2021-10-30 22:31:37,-41.8697,-73.8203,62.13,61,0,4.34
250,Nurota,UZ,2021-10-30 22:34:59,40.5614,65.6886,44.69,57,100,3.29
251,Kwakoa,TZ,2021-10-30 22:34:59,-3.7667,37.7167,69.71,87,7,4.14
252,Maykor,RU,2021-10-30 22:35:00,59.0059,55.88,34.16,89,99,5.86
253,Bitung,ID,2021-10-30 22:35:00,1.4451,125.1824,76.05,93,99,7.23
254,Khandyga,RU,2021-10-30 22:35:01,62.6667,135.6,-10.25,100,100,1.3
255,Mount Isa,AU,2021-10-30 22:35:01,-20.7333,139.5,78.57,22,75,13.8
256,Mangochi,MW,2021-10-30 22:35:02,-14.4782,35.2645,76.44,43,0,3.4
257,Manavalakurichi,IN,2021-10-30 22:35:03,8.1333,77.3,78.89,93,100,6.04
258,Shamary,RU,2021-10-30 22:35:04,57.3434,58.2199,36.25,87,94,6.02
259,Grand Gaube,MU,2021-10-30 22:35:04,-20.0064,57.6608,70.38,84,4,6.96
260,Lethem,GY,2021-10-30 22:35:05,3.3803,-59.7968,80.73,69,74,5.12
261,Tianpeng,CN,2021-10-30 22:35:05,30.9866,103.9393,57.67,76,96,2.21
